FID,oid,idk,men,men_occ5,pt_men_occ5,geometry
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68e1,1,N14390E19203-N14394E19211,19,12,63.157895,"MULTIPOLYGON (((733039.6141329713 6858192.182826715, 734832.0856987155 6858362.215251595, 734739.4749225333 6859357.389806604, 732946.9829862195 6859187.3477327665, 733039.6141329713 6858192.182826715)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68e0,2,N14396E19204-N14403E19207,17,13,76.470588,"MULTIPOLYGON (((733127.6267492018 6859405.275138611, 733924.2887959582 6859480.85625075, 733776.0751625621 6861073.123982346, 732979.4029096441 6860997.543079297, 733127.6267492018 6859405.275138611)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68df,3,N14396E19212-N14401E19217,14,8,57.142857,"MULTIPOLYGON (((734720.9507813271 6859556.426833421, 735915.9386795912 6859669.766754604, 735804.7939577079 6860863.9794835085, 734609.7957421928 6860750.629794144, 734720.9507813271 6859556.426833421)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68de,4,N14404E19220-N14408E19222,22,11,50,"MULTIPOLYGON (((736166.0818135703 6861299.833578283, 736763.5971226764 6861356.652304631, 736670.9555328053 6862351.689548953, 736073.4513026471 6862295.020478884, 736166.0818135703 6861299.833578283)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68dd,5,N14405E19197-N14408E19202,18,10,55.555556,"MULTIPOLYGON (((731566.692064149 6861064.287695526, 732761.7006007829 6861177.680220344, 732687.5736674845 6861973.820265733, 731492.5548934811 6861860.417925458, 731566.692064149 6861064.287695526)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68dc,6,N14408E19205-N14412E19210,19,11,57.894737,"MULTIPOLYGON (((733104.4441385254 6861812.583232559, 734299.4626880366 6861925.954006746, 734206.8117787864 6862921.131927641, 733011.7830366294 6862807.761354957, 733104.4441385254 6861812.583232559)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68db,7,N14410E19187-N14422E19194,21,13,61.904762,"MULTIPOLYGON (((729482.3191457316 6861870.41906662, 731075.6843774132 6862021.6544943135, 730834.6983807955 6864609.097300659, 729241.2611774536 6864457.693464035, 729482.3191457316 6861870.41906662)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68da,8,N14410E19211-N14412E19216,13,7,53.846154,"MULTIPOLYGON (((734262.4043610136 6862324.029055189, 735457.4228733636 6862437.378589031, 735401.8304953057 6863034.491384516, 734206.8117787864 6862921.131927641, 734262.4043610136 6862324.029055189)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68d9,9,N14411E19179-N14419E19181,18,9,50,"MULTIPOLYGON (((727870.3706914346 6861918.017530371, 728467.8841386704 6861974.747448159, 728301.0243200437 6863766.049667667, 727703.500384727 6863709.319868825, 727870.3706914346 6861918.017530371)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68d8,10,N14413E19203-N14415E19209,11,9,81.818182,"MULTIPOLYGON (((732613.4467116849 6862769.960846033, 734007.643691473 6862902.241884451, 733952.0411679618 6863499.355147468, 732557.8439640647 6863367.064197516, 732613.4467116849 6862769.960846033)))"
